area_type,availability,location,size,society,total_sqft,bath,balcony,price,latitude,longitude,hospital_distance_km,hospital_time_min,playground_distance_km,playground_time_min,kindergarten_distance_km,kindergarten_time_min,metro_distance_km,metro_time_min,busstop_distance_km,busstop_time_min,office_distance_km,office_time_min,school_distance_km,school_time_min,college_distance_km,college_time_min
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2.0,1.0,39.07,12.9876,77.6106,4.93,2,1.44,9,0.78,10,2.66,13,0.58,7,7.66,28,2.66,10,8.41,17
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5.0,3.0,120.0,12.9836,77.6066,1.39,6,1.49,6,1.52,4,7.98,13,0.61,4,10.96,32,3.62,7,4.09,20
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrrvaGr,1440,2.0,3.0,62.0,12.9906,77.6136,3.88,11,2.4,5,1.52,4,3.09,5,0.73,6,6.95,37,3.07,6,4.83,10
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3.0,1.0,95.0,12.9886,77.6116,1.56,4,2.86,2,0.68,7,2.77,5,0.16,1,12.42,29,3.84,13,3.62,16
Super built-up  Area,Ready To Move,Kothanur,2 BHK,GrrvaGr,1200,2.0,1.0,51.0,12.9826,77.6056,4.88,14,2.59,5,3.06,8,4.18,16,1.8,7,1.84,24,1.37,12,5.51,16
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2.0,1.0,38.0,13.0206,77.6436,1.47,12,1.49,3,2.14,9,5.66,21,1.86,3,9.37,36,4.61,7,7.86,13
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4.0,2.0,204.0,13.0086,77.6316,1.95,14,1.08,9,2.96,10,2.29,22,0.19,4,14.98,13,3.92,10,8.25,15
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4.0,2.0,600.0,12.9766,77.5996,2.49,7,0.77,8,1.78,10,5.59,8,1.53,1,5.92,19,3.1,12,4.66,22
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,GrrvaGr,1310,3.0,1.0,63.25,13.0086,77.6316,1.74,10,2.09,3,0.39,8,2.55,13,1.79,7,6.38,10,0.52,6,2.52,23
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,GrrvaGr,1020,6.0,2.0,370.0,13.0066,77.6296,1.52,9,1.31,8,3.69,5,5.45,18,0.95,1,1.12,27,1.53,11,6.82,16
Super built-up  Area,18-Feb,Whitefield,3 BHK,GrrvaGr,1800,2.0,2.0,70.0,13.0206,77.6436,2.46,3,0.51,3,0.71,4,3.3,8,0.14,2,13.26,25,3.82,13,4.44,27
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5.0,3.0,295.0,13.0206,77.6436,4.12,4,0.24,5,0.74,7,4.93,17,1.81,7,3.68,17,0.93,14,9.84,18
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2.0,1.0,38.0,13.0116,77.6346,3.91,4,1.79,4,1.31,11,2.86,22,0.94,1,8.64,42,0.52,6,1.71,34
Built-up  Area,Ready To Move,Gottigere,2 BHK,GrrvaGr,1100,2.0,2.0,40.0,13.0126,77.6356,2.33,10,2.63,1,2.22,10,2.09,7,0.21,1,9.64,27,2.8,12,2.17,20
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3.0,2.0,148.0,12.9736,77.5966,1.7,2,1.06,8,1.38,4,3.25,15,1.55,7,5.24,43,1.59,5,3.48,34
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2.0,2.0,73.5,12.9936,77.6166,0.83,2,0.71,7,2.62,3,6.08,13,1.41,1,9.86,29,4.58,5,7.1,13
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3.0,2.0,48.0,12.9926,77.6156,4.37,5,1.56,5,2.28,11,6.33,10,1.35,5,4.09,40,1.54,13,1.86,29
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3.0,3.0,60.0,12.9956,77.6186,4.45,7,2.28,5,2.68,9,5.48,10,0.69,7,6.48,24,2.66,10,5.22,22
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4.0,2.0,290.0,13.0176,77.6406,0.52,7,0.2,5,0.55,10,4.32,8,1.11,7,6.33,33,3.56,7,1.23,20
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,GrrvaGr,1100,2.0,2.0,48.0,12.9806,77.6036,3.79,11,2.64,2,3.75,6,7.17,7,0.22,2,11.38,37,1.7,4,1.41,29
